Point ID,Name,Category,OSM ID,Location,Longitude,Latitude
ST001,Litang Town,Town/Township,621892885,Outside Zhenlong Township,109.129485,23.20284
ST002,Sanli Town,Town/Township,3155700108,Outside Zhenlong Township,109.3917952,23.0561446
ST003,Yunbiao Town,Town/Township,3155700111,Outside Zhenlong Township,109.3858039,22.9062875
ST004,Wuli Town,Town/Township,3155700112,Outside Zhenlong Township,109.3938582,22.9618298
ST005,Huanglian Town,Town/Township,3722472095,Outside Zhenlong Township,109.3118097,23.1581487
ST006,Dingbu,Village,3810307024,Outside Zhenlong Township,109.3999847,23.1991
ST007,Hongni,Village,3810307026,Outside Zhenlong Township,109.3972304,23.183709
ST008,Pinglong,Village,3810307030,Outside Zhenlong Township,109.4007833,23.2167599
ST009,Qintang Subdistrict,Town/Township,3810307031,Outside Zhenlong Township,109.4158451,23.1373934
ST010,Binzhou,Village,3909352213,Outside Zhenlong Township,109.407,23.0041
ST011,Changtang,Village,3909352214,Outside Zhenlong Township,109.42,23.0101
ST012,Dongliu,Village,3909352217,Outside Zhenlong Township,109.444,22.9915
ST013,Jishui,Village,3909352219,Outside Zhenlong Township,109.43,23.0314
ST014,Jitang,Village,3909352220,Outside Zhenlong Township,109.426,23.0194
ST015,Lengwei,Village,3909352221,Outside Zhenlong Township,109.441,23.001
ST016,Liangwu,Village,3909352222,Outside Zhenlong Township,109.439,23.0675
ST017,Longxing,Village,3909352225,Outside Zhenlong Township,109.404,23.0207
ST018,Shishe,Village,3909352226,Outside Zhenlong Township,109.434,23.0465
ST019,Wangliu Village,Village,3909352228,Outside Zhenlong Township,109.422,23.0365
ST020,Xiyu,Village,3909352231,Outside Zhenlong Township,109.431,23.018
ST021,Pang Village,Village,3909512213,Outside Zhenlong Township,109.043,22.9833
ST022,Caoyi,Village,3910747325,Outside Zhenlong Township,109.198,22.9115
ST023,Changan,Village,3910747326,Outside Zhenlong Township,109.112,22.8748
ST024,Dailai,Village,3910747327,Outside Zhenlong Township,109.127,22.9925
ST025,Daliao,Village,3910747328,Outside Zhenlong Township,109.0774522,22.9257376
ST026,Dingli,Village,3910747329,Outside Zhenlong Township,109.195,22.9419
ST027,Feng Village,Village,3910747330,Outside Zhenlong Township,109.05,22.8954
ST028,Gaoshi,Village,3910747331,Outside Zhenlong Township,109.058,22.9144
ST029,Gufeng,Village,3910747332,Outside Zhenlong Township,109.123,22.9423
ST030,Hecang,Village,3910747333,Outside Zhenlong Township,109.036,22.9238
ST031,He Village,Village,3910747334,Outside Zhenlong Township,109.161,22.9541
ST032,Hedai,Village,3910747335,Outside Zhenlong Township,109.1,22.987
ST033,Hetang,Village,3910747336,Outside Zhenlong Township,109.053,22.8853
ST034,Huang Village,Village,3910747338,Outside Zhenlong Township,109.161,22.9317
ST035,Jiangju,Village,3910747339,Outside Zhenlong Township,109.104,22.9432
ST036,Lao Village,Village,3910747340,Outside Zhenlong Township,109.157,23.0117
ST037,Lilu,Village,3910747341,Outside Zhenlong Township,109.088,22.9789
ST038,Liuchang,Village,3910747342,Within Zhenlong Township,109.191,23.0026
ST039,Liuhua,Village,3910747343,Within Zhenlong Township,109.173,22.99
ST040,Lu Village,Village,3910747344,Outside Zhenlong Township,109.14,22.9698
ST041,Mulu,Village,3910747346,Within Zhenlong Township,109.196,22.9933
ST042,Naluo,Village,3910747348,Outside Zhenlong Township,109.144,22.8879
ST043,Namiao New Village,Village,3910747349,Outside Zhenlong Township,109.069,22.9524
ST044,Pantang,Village,3910747352,Outside Zhenlong Township,109.098,22.8624
ST045,Pinglin,Village,3910747353,Outside Zhenlong Township,109.073,22.8718
ST046,Pingtian,Village,3910747354,Outside Zhenlong Township,109.131,23.0018
ST047,Sanlian,Village,3910747356,Outside Zhenlong Township,109.1037663,22.9699968
ST048,Shitang Town,Town/Township,3910748657,Outside Zhenlong Township,109.0671696,22.8866563
ST049,Shuanghe,Village,3910748658,Outside Zhenlong Township,109.103,22.9588
ST050,Tanguan,Village,3910748659,Outside Zhenlong Township,109.129,22.8634
ST051,Tangwang,Village,3910748660,Outside Zhenlong Township,109.08,22.9078
ST052,Tankuan,Village,3910748661,Outside Zhenlong Township,109.0794536,22.9137058
ST053,Tanleng,Village,3910748662,Outside Zhenlong Township,109.18,22.9241
ST054,Tanqiao,Village,3910748663,Outside Zhenlong Township,109.1660386,22.901617
ST055,Wangganxin,Village,3910748664,Outside Zhenlong Township,109.101,22.8899
ST056,Wanglong,Village,3910748665,Outside Zhenlong Township,109.043,22.9637
ST057,Wangzhai,Village,3910748666,Outside Zhenlong Township,109.1124289,22.9057304
