Cargo Box ID,Sortie ID,Service Area ID,Delivery Completion Time (s)
S002-WAT-01,Q2-001,S002,1277.3160093193542
S002-WAT-02,Q2-001,S002,1313.3160093193542
S002-WAT-03,Q2-001,S002,1349.3160093193542
S002-FOD-01,Q2-001,S002,1385.3160093193542
S002-HYG-01,Q2-001,S002,1421.3160093193542
S013-MED-01,Q2-002,S013,1023.5889241658377
S013-WAT-01,Q2-003,S013,1023.5889241658377
S009-WAT-01,Q2-004,S009,1065.8969373566922
S009-MED-01,Q2-005,S009,1065.8969373566922
S014-MED-01,Q2-006,S014,1182.432763976175
S014-WAT-01,Q2-006,S014,1212.432763976175
S014-FOD-01,Q2-006,S014,1242.432763976175
S007-MED-01,Q2-007,S007,1203.7477239180882
S007-WAT-01,Q2-007,S007,1239.7477239180882
S007-WAT-02,Q2-007,S007,1275.7477239180882
S007-FOD-01,Q2-007,S007,1311.7477239180882
S007-HYG-01,Q2-007,S007,1347.7477239180882
S012-MED-01,Q2-008,S012,1211.2972779850202
S012-WAT-01,Q2-008,S012,1241.2972779850202
S012-FOD-01,Q2-008,S012,1271.2972779850202
S001-WAT-04,Q2-009,S001,2400.685087630586
S011-WAT-01,Q2-010,S011,2385.311307833428
S002-MED-01,Q2-011,S002,3030.039161579972
S002-WAT-04,Q2-011,S002,3060.039161579972
S002-FOD-02,Q2-011,S002,3090.039161579972
S001-MED-01,Q2-012,S001,2969.845643775631
S001-MED-02,Q2-012,S001,3005.845643775631
S001-WAT-01,Q2-012,S001,3041.845643775631
S001-WAT-02,Q2-012,S001,3077.845643775631
S001-WAT-06,Q2-012,S001,3113.845643775631
S001-WAT-07,Q2-012,S001,3149.845643775631
S001-FOD-03,Q2-012,S001,3185.845643775631
S001-HYG-02,Q2-012,S001,3221.845643775631
S010-MED-01,Q2-013,S010,2947.9596738598766
S010-WAT-01,Q2-013,S010,2977.9596738598766
S010-FOD-01,Q2-013,S010,3007.9596738598766
S006-MED-01,Q2-014,S006,3071.2367816088818
S006-WAT-01,Q2-014,S006,3107.2367816088818
S006-WAT-02,Q2-014,S006,3143.2367816088818
S006-WAT-03,Q2-014,S006,3179.2367816088818
S006-FOD-01,Q2-014,S006,3215.2367816088818
S006-HYG-01,Q2-014,S006,3251.2367816088818
S001-WAT-05,Q2-015,S001,3432.421218366915
S001-WAT-03,Q2-016,S001,3456.640014716828
S001-WAT-08,Q2-017,S001,3591.0614280005384
S003-WAT-02,Q2-018,S003,4118.4308349812645
S003-MED-01,Q2-019,S003,4736.356340887654
S011-MED-01,Q2-019,S011,5468.4420499552725
S004-MED-01,Q2-020,S004,5068.206098821701
S004-WAT-01,Q2-020,S004,5104.206098821701
S004-WAT-02,Q2-020,S004,5140.206098821701
S004-WAT-03,Q2-020,S004,5176.206098821701
S004-FOD-01,Q2-020,S004,5212.206098821701
S004-HYG-01,Q2-020,S004,5248.206098821701
S003-WAT-03,Q2-021,S003,5124.0488020879275
S008-MED-01,Q2-022,S008,4953.2552233829265
S003-WAT-04,Q2-023,S003,5148.26759843784
S003-WAT-01,Q2-024,S003,5740.158709360885
S008-WAT-02,Q2-025,S008,5932.856696156314
S013-FOD-01,Q2-026,S013,5995.373436902536
S015-MED-01,Q2-027,S015,6781.534002310007
S015-WAT-01,Q2-027,S015,6811.534002310007
S015-FOD-01,Q2-027,S015,6841.534002310007
S001-FOD-01,Q2-028,S001,6548.14130259932
S008-WAT-01,Q2-029,S008,7199.462674414401
S001-FOD-02,Q2-030,S001,6825.97638580894
S003-FOD-02,Q2-031,S003,7667.98238550461
S005-MED-01,Q2-032,S005,7723.986860627196
S005-WAT-01,Q2-032,S005,7759.986860627196
S005-WAT-02,Q2-032,S005,7795.986860627196
S005-WAT-03,Q2-032,S005,7831.986860627196
S005-FOD-01,Q2-032,S005,7867.986860627196
S005-HYG-01,Q2-032,S005,7903.986860627196
S003-FOD-01,Q2-033,S003,8673.600352611273
S008-HYG-01,Q2-034,S008,8507.127824823476
S008-FOD-01,Q2-035,S008,8654.318535601331
S009-FOD-01,Q2-036,S009,8446.88638883956
S003-HYG-01,Q2-037,S003,8913.774405714672
S001-HYG-01,Q2-038,S001,9317.796132313324
S011-FOD-01,Q2-039,S011,9354.536189428463
