Sortie ID,Resource Type,Resource ID,Model ID,Occupied From (s),Occupied Until (s),Return Time (s),Charge Start (s),Battery Ready (s)
Q2-001,drone,U07,C,0.0,2041.8120186387082,2041.8120186387082,,
Q2-001,battery,C-BAT-01,C,0.0,4424.6431371923445,2041.8120186387082,2041.8120186387082,4424.6431371923445
Q2-002,drone,U01,A,0.0,1552.1111816650086,1552.1111816650086,,
Q2-002,battery,A-BAT-01,A,0.0,2583.847312401337,1552.1111816650086,1552.1111816650086,2583.847312401337
Q2-003,drone,U02,A,0.0,1552.1111816650086,1552.1111816650086,,
Q2-003,battery,A-BAT-02,A,0.0,2608.06610875125,1552.1111816650086,1552.1111816650086,2608.06610875125
Q2-004,drone,U04,A,0.0,1628.6138747133843,1628.6138747133843,,
Q2-004,battery,A-BAT-04,A,0.0,2769.1304905591633,1628.6138747133843,1628.6138747133843,2769.1304905591633
Q2-005,drone,U03,A,0.0,1628.6138747133843,1628.6138747133843,,
Q2-005,battery,A-BAT-03,A,0.0,2742.4875220349604,1628.6138747133843,1628.6138747133843,2742.4875220349604
Q2-006,drone,U06,B,0.0,1869.7521946190163,1869.7521946190163,,
Q2-006,battery,B-BAT-02,B,0.0,3463.9156684860036,1869.7521946190163,1869.7521946190163,3463.9156684860036
Q2-007,drone,U08,C,0.0,1907.5754478361764,1907.5754478361764,,
Q2-007,battery,C-BAT-02,C,0.0,3664.705565525088,1907.5754478361764,1907.5754478361764,3664.705565525088
Q2-008,drone,U05,B,0.0,1922.7345559700407,1922.7345559700407,,
Q2-008,battery,B-BAT-01,B,0.0,3782.107403132738,1922.7345559700407,1922.7345559700407,3782.107403132738
Q2-009,drone,U02,A,1552.1111816650086,2743.0123269294972,2743.0123269294972,,
Q2-009,battery,A-BAT-06,A,1552.1111816650086,3595.320834357737,2743.0123269294972,2743.0123269294972,3595.320834357737
Q2-010,drone,U01,A,1552.1111816650086,2714.138100668514,2714.138100668514,,
Q2-010,battery,A-BAT-05,A,1552.1111816650086,3541.309335458439,2714.138100668514,2714.138100668514,3541.309335458439
Q2-011,drone,U06,B,1869.7521946190163,3686.446128540928,3686.446128540928,,
Q2-011,battery,B-BAT-03,B,1869.7521946190163,5528.928697502835,3686.446128540928,3686.446128540928,5528.928697502835
Q2-012,drone,U08,C,1907.5754478361764,3533.745839715085,3533.745839715085,,
Q2-012,battery,C-BAT-03,C,1907.5754478361764,5157.260174832155,3533.745839715085,3533.745839715085,5157.260174832155
Q2-013,drone,U05,B,1922.7345559700407,3478.1114584163797,3478.1114584163797,,
Q2-013,battery,B-BAT-04,B,1922.7345559700407,4934.826522938946,3478.1114584163797,3478.1114584163797,4934.826522938946
Q2-014,drone,U07,C,2041.8120186387082,3603.371544579055,3603.371544579055,,
Q2-014,battery,C-BAT-04,C,2041.8120186387082,5140.3354939047,3603.371544579055,3603.371544579055,5140.3354939047
Q2-015,drone,U03,A,2583.847312401337,3774.748457665826,3774.748457665826,,
Q2-015,battery,A-BAT-01,A,2583.847312401337,4627.056965094066,3774.748457665826,3774.748457665826,4627.056965094066
Q2-016,drone,U04,A,2608.06610875125,3798.967254015739,3798.967254015739,,
Q2-016,battery,A-BAT-02,A,2608.06610875125,4651.275761443979,3798.967254015739,3798.967254015739,4651.275761443979
Q2-017,drone,U01,A,2742.4875220349604,3933.3886672994495,3933.3886672994495,,
Q2-017,battery,A-BAT-03,A,2742.4875220349604,4785.697174727689,3933.3886672994495,3933.3886672994495,4785.697174727689
Q2-018,drone,U02,A,2769.1304905591633,4971.784512736698,4971.784512736698,,
Q2-018,battery,A-BAT-04,A,2769.1304905591633,6318.6820410825085,4971.784512736698,4971.784512736698,6318.6820410825085
Q2-019,drone,U05,B,3478.1114584163797,5750.467208344436,5750.467208344436,,
Q2-019,battery,B-BAT-02,B,3478.1114584163797,7476.075265142357,5750.467208344436,5750.467208344436,7476.075265142357
Q2-020,drone,U07,C,3664.705565525088,5965.766632118313,5965.766632118313,,
Q2-020,battery,C-BAT-02,C,3664.705565525088,8465.52593637387,5965.766632118313,5965.766632118313,8465.52593637387
Q2-021,drone,U03,A,3774.748457665826,5977.402479843362,5977.402479843362,,
Q2-021,battery,A-BAT-05,A,3774.748457665826,7324.300008189171,5977.402479843362,5977.402479843362,7324.300008189171
Q2-022,drone,U06,B,3782.107403132738,5623.949710299782,5623.949710299782,,
Q2-022,battery,B-BAT-01,B,3782.107403132738,7335.980004573286,5623.949710299782,5623.949710299782,7335.980004573286
Q2-023,drone,U04,A,3798.967254015739,6001.621276193275,6001.621276193275,,
Q2-023,battery,A-BAT-06,A,3798.967254015739,7348.518804539084,6001.621276193275,6001.621276193275,7348.518804539084
Q2-024,drone,U08,C,4424.6431371923445,6530.754281529425,6530.754281529425,,
Q2-024,battery,C-BAT-01,C,4424.6431371923445,8652.813696938274,6530.754281529425,6530.754281529425,8652.813696938274
Q2-025,drone,U01,A,4627.056965094066,6738.203093885228,6738.203093885228,,
Q2-025,battery,A-BAT-01,A,4627.056965094066,8147.191198570836,6738.203093885228,6738.203093885228,8147.191198570836
Q2-026,drone,U02,A,4971.784512736698,6523.895694401706,6523.895694401706,,
Q2-026,battery,A-BAT-02,A,4971.784512736698,7564.474061292571,6523.895694401706,6523.895694401706,7564.474061292571
Q2-027,drone,U06,B,5623.949710299782,7452.238294320232,7452.238294320232,,
Q2-027,battery,B-BAT-03,B,5623.949710299782,9118.814961210679,7452.238294320232,7452.238294320232,9118.814961210679
Q2-028,drone,U05,B,5750.467208344436,6839.568730187537,6839.568730187537,,
Q2-028,battery,B-BAT-04,B,5750.467208344436,7923.1018754671195,6839.568730187537,6839.568730187537,7923.1018754671195
Q2-029,drone,U07,C,5965.766632118313,7901.478716710488,7901.478716710488,,
Q2-029,battery,C-BAT-03,C,5965.766632118313,10137.356769040107,7901.478716710488,7901.478716710488,10137.356769040107
Q2-030,drone,U03,A,5977.402479843362,7168.303625107851,7168.303625107851,,
Q2-030,battery,A-BAT-03,A,5977.402479843362,8011.096216970186,7168.303625107851,7168.303625107851,8011.096216970186
Q2-031,drone,U04,A,6318.6820410825085,8521.336063260043,8521.336063260043,,
Q2-031,battery,A-BAT-04,A,6318.6820410825085,9845.021878787353,8521.336063260043,8521.336063260043,9845.021878787353
Q2-032,drone,U08,C,6530.754281529425,8407.949439724967,8407.949439724967,,
Q2-032,battery,C-BAT-04,C,6530.754281529425,10384.800630048712,8407.949439724967,8407.949439724967,10384.800630048712
Q2-033,drone,U01,A,7324.300008189171,9526.954030366707,9526.954030366707,,
Q2-033,battery,A-BAT-05,A,7324.300008189171,10850.639845894017,9526.954030366707,9526.954030366707,10850.639845894017
Q2-034,drone,U05,B,7335.980004573286,9177.82231174033,9177.82231174033,,
Q2-034,battery,B-BAT-01,B,7335.980004573286,10904.12348228517,9177.82231174033,9177.82231174033,10904.12348228517
Q2-035,drone,U02,A,7348.518804539084,9459.664933330247,9459.664933330247,,
Q2-035,battery,A-BAT-06,A,7348.518804539084,10844.39332002902,9459.664933330247,9459.664933330247,10844.39332002902
Q2-036,drone,U06,B,7476.075265142357,8914.517512536762,8914.517512536762,,
Q2-036,battery,B-BAT-02,B,7476.075265142357,10336.244612234423,8914.517512536762,8914.517512536762,10336.244612234423
Q2-037,drone,U03,A,7564.474061292571,9767.128083470107,9767.128083470107,,
Q2-037,battery,A-BAT-02,A,7564.474061292571,11084.772405389733,9767.128083470107,9767.128083470107,11084.772405389733
Q2-038,drone,U07,C,8465.52593637387,9629.696328252778,9629.696328252778,,
Q2-038,battery,C-BAT-02,C,8465.52593637387,10992.563524762243,9629.696328252778,9629.696328252778,10992.563524762243
Q2-039,drone,U04,A,8521.336063260043,9683.362982263548,9683.362982263548,,
Q2-039,battery,A-BAT-01,A,8521.336063260043,10501.561369611547,9683.362982263548,9683.362982263548,10501.561369611547
