Sortie ID,Drone ID,Model ID,Battery ID,Start Time (s),Service Area Visit Order,Return to O01 Time (s),Sortie Energy (kWh)
Q2-001,U07,C,C-BAT-01,0.0,O01-S002-O01,2041.8120186387082,5.721222591582658
Q2-002,U01,A,A-BAT-01,0.0,O01-S013-O01,1552.1111816650086,1.8406250679334437
Q2-003,U02,A,A-BAT-02,0.0,O01-S013-O01,1552.1111816650086,1.9244593629908364
Q2-004,U04,A,A-BAT-04,0.0,O01-S009-O01,1628.6138747133843,2.217172901004619
Q2-005,U03,A,A-BAT-03,0.0,O01-S009-O01,1628.6138747133843,2.1249472407285337
Q2-006,U06,B,B-BAT-02,0.0,O01-S014-O01,1869.7521946190163,2.1403772473853557
Q2-007,U08,C,C-BAT-02,0.0,O01-S007-O01,1907.5754478361764,3.41094197300521
Q2-008,U05,B,B-BAT-01,0.0,O01-S012-O01,1922.7345559700407,2.7523988780677637
Q2-009,U02,A,A-BAT-06,1552.1111816650086,O01-S001-O01,2743.0123269294972,1.2195294487900608
Q2-010,U01,A,A-BAT-05,1552.1111816650086,O01-S011-O01,2714.138100668514,1.1325158127343564
Q2-011,U06,B,B-BAT-03,1869.7521946190163,O01-S002-O01,3686.446128540928,2.7134213129890172
Q2-012,U08,C,C-BAT-03,1907.5754478361764,O01-S001-O01,3533.745839715085,2.9175913912014897
Q2-013,U05,B,B-BAT-04,1922.7345559700407,O01-S010-O01,3478.1114584163797,1.8231886104366914
Q2-014,U07,C,C-BAT-04,2041.8120186387082,O01-S006-O01,3603.371544579055,2.598020735971614
Q2-015,U03,A,A-BAT-01,2583.847312401337,O01-S001-O01,3774.748457665826,1.2195294487900608
Q2-016,U04,A,A-BAT-02,2608.06610875125,O01-S001-O01,3798.967254015739,1.2195294487900608
Q2-017,U01,A,A-BAT-03,2742.4875220349604,O01-S001-O01,3933.3886672994495,1.2195294487900608
Q2-018,U02,A,A-BAT-04,2769.1304905591633,O01-S003-O01,4971.784512736698,2.9315683673508808
Q2-019,U05,B,B-BAT-02,3478.1114584163797,O01-S003-S011-O01,5750.467208344436,2.443710900302895
Q2-020,U07,C,C-BAT-02,3664.705565525088,O01-S004-O01,5965.766632118313,6.152957431097441
Q2-021,U03,A,A-BAT-05,3774.748457665826,O01-S003-O01,5977.402479843362,2.9315683673508808
Q2-022,U06,B,B-BAT-01,3782.107403132738,O01-S008-O01,5623.949710299782,2.412377602169626
Q2-023,U04,A,A-BAT-06,3798.967254015739,O01-S003-O01,6001.621276193275,2.9315683673508808
Q2-024,U08,C,C-BAT-01,4424.6431371923445,O01-S003-O01,6530.754281529425,4.758373226124981
Q2-025,U01,A,A-BAT-01,4627.056965094066,O01-S008-O01,6738.203093885228,3.1464972854501783
Q2-026,U02,A,A-BAT-02,4971.784512736698,O01-S013-O01,6523.895694401706,1.871232808468375
Q2-027,U06,B,B-BAT-03,5623.949710299782,O01-S015-O01,7452.238294320232,2.3074846159010316
Q2-028,U05,B,B-BAT-04,5750.467208344436,O01-S001-O01,6839.568730187537,0.9619995660298046
Q2-029,U07,C,C-BAT-03,5965.766632118313,O01-S008-O01,7901.478716710488,5.178626654755513
Q2-030,U03,A,A-BAT-03,5977.402479843362,O01-S001-O01,7168.303625107851,1.1865897410619302
Q2-031,U04,A,A-BAT-04,6318.6820410825085,O01-S003-O01,8521.336063260043,2.8512201306714555
Q2-032,U08,C,C-BAT-04,6530.754281529425,O01-S005-O01,8407.949439724967,4.222219779656905
Q2-033,U01,A,A-BAT-05,7324.300008189171,O01-S003-O01,9526.954030366707,2.8512201306714555
Q2-034,U05,B,B-BAT-01,7335.980004573286,O01-S008-O01,9177.82231174033,2.445310393565012
Q2-035,U02,A,A-BAT-06,7348.518804539084,O01-S008-O01,9459.664933330247,3.062521338572677
Q2-036,U06,B,B-BAT-02,7476.075265142357,O01-S009-O01,8914.517512536762,1.742447153148444
Q2-037,U03,A,A-BAT-02,7564.474061292571,O01-S003-O01,9767.128083470107,2.8303072681833195
Q2-038,U07,C,C-BAT-02,8465.52593637387,O01-S001-O01,9629.696328252778,1.95520195634264
Q2-039,U04,A,A-BAT-01,8521.336063260043,O01-S011-O01,9683.362982263548,1.1014559562046102
