cargo_id,area,mass_kg,volume_m3,desired_s,priority,hard_deadline_s,supply_type
S001-MED-01,S001,3.0,0.012,3600.0,24.0,3600.0,medical supplies
S001-MED-02,S001,3.0,0.012,3600.0,24.0,,medical supplies
S001-WAT-01,S001,14.0,0.027,3600.0,12.0,3600.0,drinking water
S001-WAT-02,S001,14.0,0.027,3600.0,12.0,,drinking water
S001-WAT-03,S001,14.0,0.027,3600.0,12.0,,drinking water
S001-WAT-04,S001,14.0,0.027,3600.0,12.0,,drinking water
S001-WAT-05,S001,14.0,0.027,3600.0,12.0,,drinking water
S001-WAT-06,S001,14.0,0.027,3600.0,12.0,,drinking water
S001-WAT-07,S001,14.0,0.027,3600.0,12.0,,drinking water
S001-WAT-08,S001,14.0,0.027,3600.0,12.0,,drinking water
S001-FOD-01,S001,8.0,0.028,7200.0,10.0,,emergency food
S001-FOD-02,S001,8.0,0.028,7200.0,10.0,,emergency food
S001-FOD-03,S001,8.0,0.028,7200.0,10.0,,emergency food
S001-HYG-01,S001,6.0,0.035,10800.0,8.0,,hygiene supplies
S001-HYG-02,S001,6.0,0.035,10800.0,8.0,,hygiene supplies
S002-MED-01,S002,3.0,0.012,3600.0,24.0,3600.0,medical supplies
S002-WAT-01,S002,14.0,0.027,3600.0,12.0,3600.0,drinking water
S002-WAT-02,S002,14.0,0.027,3600.0,12.0,,drinking water
S002-WAT-03,S002,14.0,0.027,3600.0,12.0,,drinking water
S002-WAT-04,S002,14.0,0.027,3600.0,12.0,,drinking water
S002-FOD-01,S002,8.0,0.028,7200.0,10.0,,emergency food
S002-FOD-02,S002,8.0,0.028,7200.0,10.0,,emergency food
S002-HYG-01,S002,6.0,0.035,10800.0,8.0,,hygiene supplies
S003-MED-01,S003,3.0,0.012,7200.0,20.0,7200.0,medical supplies
S003-WAT-01,S003,14.0,0.027,7200.0,10.0,7200.0,drinking water
S003-WAT-02,S003,14.0,0.027,7200.0,10.0,,drinking water
S003-WAT-03,S003,14.0,0.027,7200.0,10.0,,drinking water
S003-WAT-04,S003,14.0,0.027,7200.0,10.0,,drinking water
S003-FOD-01,S003,8.0,0.028,10800.0,8.0,,emergency food
S003-FOD-02,S003,8.0,0.028,10800.0,8.0,,emergency food
S003-HYG-01,S003,6.0,0.035,14400.0,6.0,,hygiene supplies
S004-MED-01,S004,3.0,0.012,7200.0,20.0,7200.0,medical supplies
S004-WAT-01,S004,14.0,0.027,7200.0,10.0,7200.0,drinking water
S004-WAT-02,S004,14.0,0.027,7200.0,10.0,,drinking water
S004-WAT-03,S004,14.0,0.027,7200.0,10.0,,drinking water
S004-FOD-01,S004,8.0,0.028,10800.0,8.0,,emergency food
S004-HYG-01,S004,6.0,0.035,14400.0,6.0,,hygiene supplies
S005-MED-01,S005,3.0,0.012,10800.0,16.0,10800.0,medical supplies
S005-WAT-01,S005,14.0,0.027,10800.0,8.0,10800.0,drinking water
S005-WAT-02,S005,14.0,0.027,10800.0,8.0,,drinking water
S005-WAT-03,S005,14.0,0.027,10800.0,8.0,,drinking water
S005-FOD-01,S005,8.0,0.028,14400.0,6.0,,emergency food
S005-HYG-01,S005,6.0,0.035,18000.0,4.0,,hygiene supplies
S006-MED-01,S006,3.0,0.012,3600.0,24.0,3600.0,medical supplies
S006-WAT-01,S006,14.0,0.027,3600.0,12.0,3600.0,drinking water
S006-WAT-02,S006,14.0,0.027,3600.0,12.0,,drinking water
S006-WAT-03,S006,14.0,0.027,3600.0,12.0,,drinking water
S006-FOD-01,S006,8.0,0.028,7200.0,10.0,,emergency food
S006-HYG-01,S006,6.0,0.035,10800.0,8.0,,hygiene supplies
S007-MED-01,S007,3.0,0.012,3600.0,24.0,3600.0,medical supplies
S007-WAT-01,S007,14.0,0.027,3600.0,12.0,3600.0,drinking water
S007-WAT-02,S007,14.0,0.027,3600.0,12.0,,drinking water
S007-FOD-01,S007,8.0,0.028,7200.0,10.0,,emergency food
S007-HYG-01,S007,6.0,0.035,10800.0,8.0,,hygiene supplies
S008-MED-01,S008,3.0,0.012,7200.0,20.0,7200.0,medical supplies
S008-WAT-01,S008,14.0,0.027,7200.0,10.0,7200.0,drinking water
S008-WAT-02,S008,14.0,0.027,7200.0,10.0,,drinking water
S008-FOD-01,S008,8.0,0.028,10800.0,8.0,,emergency food
S008-HYG-01,S008,6.0,0.035,14400.0,6.0,,hygiene supplies
S009-MED-01,S009,3.0,0.012,10800.0,16.0,10800.0,medical supplies
S009-WAT-01,S009,14.0,0.027,10800.0,8.0,10800.0,drinking water
S009-FOD-01,S009,8.0,0.028,14400.0,6.0,,emergency food
S010-MED-01,S010,3.0,0.012,3600.0,24.0,3600.0,medical supplies
S010-WAT-01,S010,14.0,0.027,3600.0,12.0,3600.0,drinking water
S010-FOD-01,S010,8.0,0.028,7200.0,10.0,,emergency food
S011-MED-01,S011,3.0,0.012,10800.0,16.0,10800.0,medical supplies
S011-WAT-01,S011,14.0,0.027,10800.0,8.0,10800.0,drinking water
S011-FOD-01,S011,8.0,0.028,14400.0,6.0,,emergency food
S012-MED-01,S012,3.0,0.012,7200.0,22.0,3600.0,medical supplies
S012-WAT-01,S012,14.0,0.027,3600.0,12.0,3600.0,drinking water
S012-FOD-01,S012,8.0,0.028,7200.0,10.0,,emergency food
S013-MED-01,S013,3.0,0.012,3600.0,24.0,3600.0,medical supplies
S013-WAT-01,S013,14.0,0.027,3600.0,12.0,3600.0,drinking water
S013-FOD-01,S013,8.0,0.028,7200.0,10.0,,emergency food
S014-MED-01,S014,3.0,0.012,7200.0,22.0,3600.0,medical supplies
S014-WAT-01,S014,14.0,0.027,3600.0,12.0,3600.0,drinking water
S014-FOD-01,S014,8.0,0.028,7200.0,10.0,,emergency food
S015-MED-01,S015,3.0,0.012,7200.0,18.0,7200.0,medical supplies
S015-WAT-01,S015,14.0,0.027,10800.0,8.0,10800.0,drinking water
S015-FOD-01,S015,8.0,0.028,14400.0,6.0,,emergency food
