Cargo Box ID,Sortie ID,Service Area ID,Delivery Completion Time (s)
S013-MED-01,Q2-001,S013,1023.5889241658377
S013-WAT-01,Q2-002,S013,1023.5889241658377
S011-FOD-01,Q2-003,S011,863.2001261684193
S011-WAT-01,Q2-003,S011,1054.8915582566356
S001-MED-01,Q2-004,S001,1062.2701959394544
S001-MED-02,Q2-004,S001,1098.2701959394544
S001-WAT-01,Q2-004,S001,1134.2701959394544
S001-WAT-02,Q2-004,S001,1170.2701959394544
S001-WAT-06,Q2-004,S001,1206.2701959394544
S001-WAT-07,Q2-004,S001,1242.2701959394544
S001-FOD-03,Q2-004,S001,1278.2701959394544
S001-HYG-02,Q2-004,S001,1314.2701959394544
S014-MED-01,Q2-005,S014,1182.432763976175
S014-WAT-01,Q2-005,S014,1212.432763976175
S014-FOD-01,Q2-005,S014,1242.432763976175
S007-MED-01,Q2-006,S007,1203.7477239180882
S007-WAT-01,Q2-006,S007,1239.7477239180882
S007-WAT-02,Q2-006,S007,1275.7477239180882
S007-FOD-01,Q2-006,S007,1311.7477239180882
S007-HYG-01,Q2-006,S007,1347.7477239180882
S011-MED-01,Q2-007,S011,863.2001261684193
S002-WAT-01,Q2-007,S002,1631.8164836681747
S012-MED-01,Q2-008,S012,1211.2972779850202
S012-WAT-01,Q2-008,S012,1241.2972779850202
S012-FOD-01,Q2-008,S012,1271.2972779850202
S002-WAT-03,Q2-009,S002,2607.527113198678
S002-WAT-02,Q2-010,S002,2775.9199437719653
S006-MED-01,Q2-011,S006,2655.595154849082
S006-WAT-01,Q2-011,S006,2691.595154849082
S006-WAT-02,Q2-011,S006,2727.595154849082
S006-WAT-03,Q2-011,S006,2763.595154849082
S006-FOD-01,Q2-011,S006,2799.595154849082
S006-HYG-01,Q2-011,S006,2835.595154849082
S002-MED-01,Q2-012,S002,3030.039161579972
S002-WAT-04,Q2-012,S002,3060.039161579972
S002-FOD-02,Q2-012,S002,3090.039161579972
S004-MED-01,Q2-013,S004,3311.0759811327894
S004-WAT-01,Q2-013,S004,3347.0759811327894
S004-WAT-02,Q2-013,S004,3383.0759811327894
S004-WAT-03,Q2-013,S004,3419.0759811327894
S004-FOD-01,Q2-013,S004,3455.0759811327894
S004-HYG-01,Q2-013,S004,3491.0759811327894
S010-MED-01,Q2-014,S010,2947.9596738598766
S010-WAT-01,Q2-014,S010,2977.9596738598766
S010-FOD-01,Q2-014,S010,3007.9596738598766
S002-FOD-01,Q2-015,S002,3453.1470050377293
S002-HYG-01,Q2-016,S002,3807.6560745082934
S003-WAT-01,Q2-017,S003,4685.200299164519
S003-WAT-03,Q2-017,S003,4721.200299164519
S003-WAT-04,Q2-017,S003,4757.200299164519
S003-FOD-02,Q2-017,S003,4793.200299164519
S003-HYG-01,Q2-017,S003,4829.200299164519
S003-MED-01,Q2-018,S003,4766.356340887654
S003-WAT-02,Q2-018,S003,4796.356340887654
S003-FOD-01,Q2-018,S003,4826.356340887654
S015-MED-01,Q2-019,S015,4939.691695142963
S015-WAT-01,Q2-019,S015,4969.691695142963
S015-FOD-01,Q2-019,S015,4999.691695142963
S008-MED-01,Q2-020,S008,5562.33255672549
S008-WAT-01,Q2-020,S008,5598.33255672549
S008-WAT-02,Q2-020,S008,5634.33255672549
S008-FOD-01,Q2-020,S008,5670.33255672549
S008-HYG-01,Q2-020,S008,5706.33255672549
S009-MED-01,Q2-021,S009,6589.465680389465
S009-WAT-01,Q2-021,S009,6619.465680389465
S009-FOD-01,Q2-021,S009,6649.465680389465
S013-FOD-01,Q2-022,S013,6553.164460632994
S005-MED-01,Q2-023,S005,6813.02845043083
S005-WAT-01,Q2-023,S005,6849.02845043083
S005-WAT-02,Q2-023,S005,6885.02845043083
S005-WAT-03,Q2-023,S005,6921.02845043083
S005-FOD-01,Q2-023,S005,6957.02845043083
S005-HYG-01,Q2-023,S005,6993.02845043083
S001-WAT-03,Q2-024,S001,7740.666014624414
S001-WAT-04,Q2-024,S001,7776.666014624414
S001-WAT-05,Q2-024,S001,7812.666014624414
S001-WAT-08,Q2-024,S001,7848.666014624414
S001-FOD-01,Q2-024,S001,7884.666014624414
S001-FOD-02,Q2-024,S001,7920.666014624414
S001-HYG-01,Q2-024,S001,7956.666014624414
