Cargo Box ID,Sortie ID,Service Area ID,Delivery Completion Time (s)
S008-WAT-01,Q2-001,S008,1305.7997310622477
S002-WAT-01,Q2-002,S002,1277.3160093193542
S002-WAT-02,Q2-002,S002,1313.3160093193542
S002-WAT-03,Q2-002,S002,1349.3160093193542
S002-FOD-01,Q2-002,S002,1385.3160093193542
S002-HYG-01,Q2-002,S002,1421.3160093193542
S002-MED-01,Q2-003,S002,1160.2869669609559
S002-WAT-04,Q2-003,S002,1190.2869669609559
S002-FOD-02,Q2-003,S002,1220.2869669609559
S011-MED-01,Q2-004,S011,863.2001261684193
S008-MED-01,Q2-004,S008,1610.8854280793853
S014-WAT-01,Q2-005,S014,1212.7589338927446
S014-MED-01,Q2-006,S014,1212.7589338927446
S007-MED-01,Q2-007,S007,1203.7477239180882
S007-WAT-01,Q2-007,S007,1239.7477239180882
S007-WAT-02,Q2-007,S007,1275.7477239180882
S007-FOD-01,Q2-007,S007,1311.7477239180882
S007-HYG-01,Q2-007,S007,1347.7477239180882
S012-MED-01,Q2-008,S012,1211.2972779850202
S012-WAT-01,Q2-008,S012,1241.2972779850202
S012-FOD-01,Q2-008,S012,1271.2972779850202
S010-MED-01,Q2-009,S010,2841.9190518117475
S010-WAT-01,Q2-009,S010,2871.9190518117475
S010-FOD-01,Q2-009,S010,2901.9190518117475
S001-MED-01,Q2-010,S001,2969.845643775631
S001-MED-02,Q2-010,S001,3005.845643775631
S001-WAT-01,Q2-010,S001,3041.845643775631
S001-WAT-02,Q2-010,S001,3077.845643775631
S001-WAT-06,Q2-010,S001,3113.845643775631
S001-WAT-07,Q2-010,S001,3149.845643775631
S001-FOD-03,Q2-010,S001,3185.845643775631
S001-HYG-02,Q2-010,S001,3221.845643775631
S013-MED-01,Q2-011,S013,2925.5030294498465
S013-WAT-01,Q2-011,S013,2955.5030294498465
S013-FOD-01,Q2-011,S013,2985.5030294498465
S011-WAT-01,Q2-012,S011,2763.604660620575
S008-WAT-02,Q2-013,S008,3236.2042655144032
S006-MED-01,Q2-014,S006,3071.2367816088818
S006-WAT-01,Q2-014,S006,3107.2367816088818
S006-WAT-02,Q2-014,S006,3143.2367816088818
S006-WAT-03,Q2-014,S006,3179.2367816088818
S006-FOD-01,Q2-014,S006,3215.2367816088818
S006-HYG-01,Q2-014,S006,3251.2367816088818
S014-FOD-01,Q2-015,S014,4264.656603906513
S008-FOD-01,Q2-016,S008,4386.699063137656
S003-MED-01,Q2-017,S003,4947.421385355094
S003-WAT-02,Q2-017,S003,4977.421385355094
S003-FOD-01,Q2-017,S003,5007.421385355094
S004-MED-01,Q2-018,S004,5068.206098821701
S004-WAT-01,Q2-018,S004,5104.206098821701
S004-WAT-02,Q2-018,S004,5140.206098821701
S004-WAT-03,Q2-018,S004,5176.206098821701
S004-FOD-01,Q2-018,S004,5212.206098821701
S004-HYG-01,Q2-018,S004,5248.206098821701
S015-MED-01,Q2-019,S015,4939.691695142963
S015-WAT-01,Q2-019,S015,4969.691695142963
S015-FOD-01,Q2-019,S015,4999.691695142963
S003-WAT-01,Q2-020,S003,5860.158709360885
S003-WAT-03,Q2-020,S003,5896.158709360885
S003-WAT-04,Q2-020,S003,5932.158709360885
S003-FOD-02,Q2-020,S003,5968.158709360885
S003-HYG-01,Q2-020,S003,6004.158709360885
S009-MED-01,Q2-021,S009,6641.207110850391
S009-WAT-01,Q2-021,S009,6671.207110850391
S009-FOD-01,Q2-021,S009,6701.207110850391
S008-HYG-01,Q2-022,S008,6910.86742140989
S005-MED-01,Q2-023,S005,7158.999211216084
S005-WAT-01,Q2-023,S005,7194.999211216084
S005-WAT-02,Q2-023,S005,7230.999211216084
S005-WAT-03,Q2-023,S005,7266.999211216084
S005-FOD-01,Q2-023,S005,7302.999211216084
S005-HYG-01,Q2-023,S005,7338.999211216084
S001-WAT-03,Q2-024,S001,7827.024477468879
S001-WAT-04,Q2-024,S001,7863.024477468879
S001-WAT-05,Q2-024,S001,7899.024477468879
S001-WAT-08,Q2-024,S001,7935.024477468879
S001-FOD-01,Q2-024,S001,7971.024477468879
S001-FOD-02,Q2-024,S001,8007.024477468879
S001-HYG-01,Q2-024,S001,8043.024477468879
S011-FOD-01,Q2-025,S011,8063.371145766131
