Sortie ID,Resource Type,Resource ID,Model ID,Occupied From (s),Occupied Until (s),Return Time (s),Charge Start (s),Battery Ready (s)
Q2-001,drone,U04,A,0.0,2111.146128791162,2111.146128791162,,
Q2-001,battery,A-BAT-04,A,0.0,3520.134233476769,2111.146128791162,2111.146128791162,3520.134233476769
Q2-002,drone,U07,C,0.0,2041.8120186387082,2041.8120186387082,,
Q2-002,battery,C-BAT-01,C,0.0,4424.6431371923445,2041.8120186387082,2041.8120186387082,4424.6431371923445
Q2-003,drone,U06,B,0.0,1816.6939339219116,1816.6939339219116,,
Q2-003,battery,B-BAT-02,B,0.0,3659.176502883819,1816.6939339219116,1816.6939339219116,3659.176502883819
Q2-004,drone,U03,A,0.0,2416.2318258082996,2416.2318258082996,,
Q2-004,battery,A-BAT-03,A,0.0,3802.991737900416,2416.2318258082996,2416.2318258082996,3802.991737900416
Q2-005,drone,U01,A,0.0,1930.4045344521558,1930.4045344521558,,
Q2-005,battery,A-BAT-01,A,0.0,3080.8993320754084,1930.4045344521558,1930.4045344521558,3080.8993320754084
Q2-006,drone,U02,A,0.0,1930.4045344521558,1930.4045344521558,,
Q2-006,battery,A-BAT-02,A,0.0,3051.897670013768,1930.4045344521558,1930.4045344521558,3051.897670013768
Q2-007,drone,U08,C,0.0,1907.5754478361764,1907.5754478361764,,
Q2-007,battery,C-BAT-02,C,0.0,3664.705565525088,1907.5754478361764,1907.5754478361764,3664.705565525088
Q2-008,drone,U05,B,0.0,1922.7345559700407,1922.7345559700407,,
Q2-008,battery,B-BAT-01,B,0.0,3782.107403132738,1922.7345559700407,1922.7345559700407,3782.107403132738
Q2-009,drone,U06,B,1816.6939339219116,3372.0708363682506,3372.0708363682506,,
Q2-009,battery,B-BAT-03,B,1816.6939339219116,4828.785900890817,3372.0708363682506,3372.0708363682506,4828.785900890817
Q2-010,drone,U08,C,1907.5754478361764,3533.745839715085,3533.745839715085,,
Q2-010,battery,C-BAT-03,C,1907.5754478361764,5157.260174832155,3533.745839715085,3533.745839715085,5157.260174832155
Q2-011,drone,U05,B,1922.7345559700407,3433.2048362629853,3433.2048362629853,,
Q2-011,battery,B-BAT-04,B,1922.7345559700407,4890.5981629405505,3433.2048362629853,3433.2048362629853,4890.5981629405505
Q2-012,drone,U01,A,1930.4045344521558,3092.4314534556606,3092.4314534556606,,
Q2-012,battery,A-BAT-05,A,1930.4045344521558,3919.6026882455863,3092.4314534556606,3092.4314534556606,3919.6026882455863
Q2-013,drone,U02,A,1930.4045344521558,4041.5506632433176,4041.5506632433176,,
Q2-013,battery,A-BAT-06,A,1930.4045344521558,5450.538767928925,4041.5506632433176,4041.5506632433176,5450.538767928925
Q2-014,drone,U07,C,2041.8120186387082,3603.371544579055,3603.371544579055,,
Q2-014,battery,C-BAT-04,C,2041.8120186387082,5140.3354939047,3603.371544579055,3603.371544579055,5140.3354939047
Q2-015,drone,U03,A,3051.897670013768,4982.302204465924,4982.302204465924,,
Q2-015,battery,A-BAT-02,A,3051.897670013768,6114.556815190231,4982.302204465924,4982.302204465924,6114.556815190231
Q2-016,drone,U04,A,3080.8993320754084,5192.0454608665705,5192.0454608665705,,
Q2-016,battery,A-BAT-01,A,3080.8993320754084,6576.773847565344,5192.0454608665705,5192.0454608665705,6576.773847565344
Q2-017,drone,U05,B,3659.176502883819,5739.719601159702,5739.719601159702,,
Q2-017,battery,B-BAT-02,B,3659.176502883819,7611.039997163628,5739.719601159702,5739.719601159702,7611.039997163628
Q2-018,drone,U07,C,3664.705565525088,5965.766632118313,5965.766632118313,,
Q2-018,battery,C-BAT-02,C,3664.705565525088,8465.52593637387,5965.766632118313,5965.766632118313,8465.52593637387
Q2-019,drone,U06,B,3782.107403132738,5610.395987153188,5610.395987153188,,
Q2-019,battery,B-BAT-01,B,3782.107403132738,7276.972654043635,5610.395987153188,5610.395987153188,7276.972654043635
Q2-020,drone,U08,C,4424.6431371923445,6794.754281529425,6794.754281529425,,
Q2-020,battery,C-BAT-01,C,4424.6431371923445,9189.462775560447,6794.754281529425,6794.754281529425,9189.462775560447
Q2-021,drone,U06,B,5610.395987153188,7168.838234547593,7168.838234547593,,
Q2-021,battery,B-BAT-03,B,5610.395987153188,8743.873445877078,7168.838234547593,7168.838234547593,8743.873445877078
Q2-022,drone,U05,B,5739.719601159702,7581.561908326746,7581.561908326746,,
Q2-022,battery,B-BAT-04,B,5739.719601159702,9307.863078871585,7581.561908326746,7581.561908326746,9307.863078871585
Q2-023,drone,U07,C,5965.766632118313,7842.961790313856,7842.961790313856,,
Q2-023,battery,C-BAT-03,C,5965.766632118313,9819.812980637602,7842.961790313856,7842.961790313856,9819.812980637602
Q2-024,drone,U08,C,6794.754281529425,8354.924673408334,8354.924673408334,,
Q2-024,battery,C-BAT-04,C,6794.754281529425,9999.614709608475,8354.924673408334,8354.924673408334,9999.614709608475
Q2-025,drone,U06,B,7276.972654043635,8345.396304155292,8345.396304155292,,
Q2-025,battery,B-BAT-01,B,7276.972654043635,9399.583859365443,8345.396304155292,8345.396304155292,9399.583859365443
