Sortie ID,Drone ID,Model ID,Battery ID,Start Time (s),Service Area Visit Order,Return to O01 Time (s),Sortie Energy (kWh)
Q2-001,U04,A,A-BAT-04,0.0,O01-S008-O01,2111.146128791162,3.1464972854501783
Q2-002,U07,C,C-BAT-01,0.0,O01-S002-O01,2041.8120186387082,5.721222591582658
Q2-003,U06,B,B-BAT-02,0.0,O01-S002-O01,1816.6939339219116,2.7134213129890172
Q2-004,U03,A,A-BAT-03,0.0,O01-S011-S008-O01,2416.2318258082996,3.069553541857326
Q2-005,U01,A,A-BAT-01,0.0,O01-S014-O01,1930.4045344521558,2.251712761003567
Q2-006,U02,A,A-BAT-02,0.0,O01-S014-O01,1930.4045344521558,2.1513223923286597
Q2-007,U08,C,C-BAT-02,0.0,O01-S007-O01,1907.5754478361764,3.41094197300521
Q2-008,U05,B,B-BAT-01,0.0,O01-S012-O01,1922.7345559700407,2.7523988780677637
Q2-009,U06,B,B-BAT-03,1816.6939339219116,O01-S010-O01,3372.0708363682506,1.8231886104366914
Q2-010,U08,C,C-BAT-03,1907.5754478361764,O01-S001-O01,3533.745839715085,2.9175913912014897
Q2-011,U05,B,B-BAT-04,1922.7345559700407,O01-S013-O01,3433.2048362629853,1.8247538307943802
Q2-012,U01,A,A-BAT-05,1930.4045344521558,O01-S011-O01,3092.4314534556606,1.1325158127343564
Q2-013,U02,A,A-BAT-06,1930.4045344521558,O01-S008-O01,4041.5506632433176,3.1464972854501783
Q2-014,U07,C,C-BAT-04,2041.8120186387082,O01-S006-O01,3603.371544579055,2.598020735971614
Q2-015,U03,A,A-BAT-02,3051.897670013768,O01-S014-O01,4982.302204465924,2.188573652507217
Q2-016,U04,A,A-BAT-01,3080.8993320754084,O01-S008-O01,5192.0454608665705,3.062521338572677
Q2-017,U05,B,B-BAT-02,3659.176502883819,O01-S003-O01,5739.719601159702,2.7799701446244454
Q2-018,U07,C,C-BAT-02,3664.705565525088,O01-S004-O01,5965.766632118313,6.152957431097441
Q2-019,U06,B,B-BAT-01,3782.107403132738,O01-S015-O01,5610.395987153188,2.3074846159010316
Q2-020,U08,C,C-BAT-01,4424.6431371923445,O01-S003-O01,6794.754281529425,5.765077516422236
Q2-021,U06,B,B-BAT-03,5610.395987153188,O01-S009-O01,7168.838234547593,2.096235103068041
Q2-022,U05,B,B-BAT-04,5739.719601159702,O01-S008-O01,7581.561908326746,2.445310393565012
Q2-023,U07,C,C-BAT-03,5965.766632118313,O01-S005-O01,7842.961790313856,4.222219779656905
Q2-024,U08,C,C-BAT-04,6794.754281529425,O01-S001-O01,8354.924673408334,2.995778595200528
Q2-025,U06,B,B-BAT-01,7276.972654043635,O01-S011-O01,8345.396304155292,0.8942789735618826
