Sortie ID,Drone ID,Model ID,Battery ID,Start Time (s),Service Area Visit Order,Return to O01 Time (s),Sortie Energy (kWh)
Q2-001,U02,A,A-BAT-02,0.0,O01-S013-O01,1552.1111816650086,1.8406250679334437
Q2-002,U03,A,A-BAT-03,0.0,O01-S013-O01,1552.1111816650086,1.9244593629908364
Q2-003,U04,A,A-BAT-04,0.0,O01-S011-S011-O01,1383.7183510917214,1.1963765486736402
Q2-004,U08,C,C-BAT-02,0.0,O01-S001-O01,1626.1703918789085,2.9175913912014897
Q2-005,U06,B,B-BAT-02,0.0,O01-S014-O01,1869.7521946190163,2.1403772473853557
Q2-006,U07,C,C-BAT-01,0.0,O01-S007-O01,1907.5754478361764,3.41094197300521
Q2-007,U01,A,A-BAT-01,0.0,O01-S011-S002-O01,2351.745245775131,3.1657396930727613
Q2-008,U05,B,B-BAT-01,0.0,O01-S012-O01,1922.7345559700407,2.7523988780677637
Q2-009,U04,A,A-BAT-05,1383.7183510917214,O01-S002-O01,3327.4558753056344,2.8714317558461464
Q2-010,U02,A,A-BAT-06,1552.1111816650086,O01-S002-O01,3495.8487058789215,2.8714317558461464
Q2-011,U08,C,C-BAT-03,1626.1703918789085,O01-S006-O01,3187.729917819255,2.598020735971614
Q2-012,U06,B,B-BAT-03,1869.7521946190163,O01-S002-O01,3686.446128540928,2.7134213129890172
Q2-013,U07,C,C-BAT-04,1907.5754478361764,O01-S004-O01,4208.636514429402,6.152957431097441
Q2-014,U05,B,B-BAT-04,1922.7345559700407,O01-S010-O01,3478.1114584163797,1.8231886104366914
Q2-015,U03,A,A-BAT-04,2229.338242930773,O01-S002-O01,4173.075767144686,2.795389175655216
Q2-016,U01,A,A-BAT-02,2583.847312401337,O01-S002-O01,4527.5848366152495,2.776031122531678
Q2-017,U08,C,C-BAT-02,3249.6847269959785,O01-S003-O01,5619.795871333059,5.765077516422236
Q2-018,U05,B,B-BAT-02,3478.1114584163797,O01-S003-O01,5558.654556692262,2.7799701446244454
Q2-019,U06,B,B-BAT-01,3782.107403132738,O01-S015-O01,5610.395987153188,2.3074846159010316
Q2-020,U07,C,C-BAT-01,4208.636514429402,O01-S008-O01,6408.348599021577,5.836069261929085
Q2-021,U05,B,B-BAT-03,5558.654556692262,O01-S009-O01,7117.096804086668,2.096235103068041
Q2-022,U06,B,B-BAT-04,5610.395987153188,O01-S013-O01,7000.866267446132,1.5156284962244309
Q2-023,U08,C,C-BAT-03,5619.795871333059,O01-S005-O01,7496.991029528602,4.222219779656905
Q2-024,U07,C,C-BAT-04,6708.3958186849595,O01-S001-O01,8268.566210563868,2.995778595200528
