Scenario,Service Area ID,Model ID,Status,Maximum Safe Payload (kg)
r0.20_a1.0_b1.0,S001,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S001,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S001,C,capacity_bound,80.0
r0.20_a1.0_b1.0,S002,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S002,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S002,C,energy_bound,68.86037775564213
r0.20_a1.0_b1.0,S003,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S003,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S003,C,energy_bound,68.20455041288635
r0.20_a1.0_b1.0,S004,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S004,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S004,C,energy_bound,63.69649250489245
r0.20_a1.0_b1.0,S005,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S005,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S005,C,capacity_bound,80.0
r0.20_a1.0_b1.0,S006,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S006,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S006,C,capacity_bound,80.0
r0.20_a1.0_b1.0,S007,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S007,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S007,C,capacity_bound,80.0
r0.20_a1.0_b1.0,S008,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S008,B,energy_bound,28.80078165435435
r0.20_a1.0_b1.0,S008,C,energy_bound,58.903108679374796
r0.20_a1.0_b1.0,S009,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S009,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S009,C,capacity_bound,80.0
r0.20_a1.0_b1.0,S010,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S010,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S010,C,capacity_bound,80.0
r0.20_a1.0_b1.0,S011,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S011,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S011,C,capacity_bound,80.0
r0.20_a1.0_b1.0,S012,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S012,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S012,C,energy_bound,68.11775809643919
r0.20_a1.0_b1.0,S013,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S013,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S013,C,capacity_bound,80.0
r0.20_a1.0_b1.0,S014,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S014,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S014,C,capacity_bound,80.0
r0.20_a1.0_b1.0,S015,A,capacity_bound,25.0
r0.20_a1.0_b1.0,S015,B,capacity_bound,30.0
r0.20_a1.0_b1.0,S015,C,capacity_bound,80.0
