Scenario,rho,alpha,beta,Service Area ID,Model ID,Status,Maximum Safe Payload (kg)
r0.20_a0.9_b0.9,0.2,0.9,0.9,S001,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S001,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S001,C,capacity_bound,80.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S002,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S002,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S002,C,energy_bound,77.69969250142366
r0.20_a0.9_b0.9,0.2,0.9,0.9,S003,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S003,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S003,C,energy_bound,77.31038321721293
r0.20_a0.9_b0.9,0.2,0.9,0.9,S004,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S004,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S004,C,energy_bound,73.86670024904862
r0.20_a0.9_b0.9,0.2,0.9,0.9,S005,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S005,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S005,C,capacity_bound,80.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S006,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S006,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S006,C,capacity_bound,80.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S007,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S007,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S007,C,capacity_bound,80.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S008,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S008,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S008,C,energy_bound,70.30849402198547
r0.20_a0.9_b0.9,0.2,0.9,0.9,S009,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S009,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S009,C,capacity_bound,80.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S010,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S010,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S010,C,capacity_bound,80.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S011,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S011,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S011,C,capacity_bound,80.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S012,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S012,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S012,C,energy_bound,77.17729694527364
r0.20_a0.9_b0.9,0.2,0.9,0.9,S013,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S013,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S013,C,capacity_bound,80.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S014,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S014,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S014,C,capacity_bound,80.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S015,A,capacity_bound,25.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S015,B,capacity_bound,30.0
r0.20_a0.9_b0.9,0.2,0.9,0.9,S015,C,capacity_bound,80.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S001,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S001,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S001,C,capacity_bound,80.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S002,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S002,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S002,C,energy_bound,77.55668537661874
r0.20_a0.9_b1.0,0.2,0.9,1.0,S003,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S003,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S003,C,energy_bound,76.95473267033779
r0.20_a0.9_b1.0,0.2,0.9,1.0,S004,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S004,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S004,C,energy_bound,73.61581949556442
r0.20_a0.9_b1.0,0.2,0.9,1.0,S005,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S005,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S005,C,capacity_bound,80.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S006,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S006,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S006,C,capacity_bound,80.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S007,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S007,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S007,C,capacity_bound,80.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S008,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S008,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S008,C,energy_bound,70.08086967069812
r0.20_a0.9_b1.0,0.2,0.9,1.0,S009,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S009,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S009,C,capacity_bound,80.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S010,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S010,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S010,C,capacity_bound,80.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S011,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S011,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S011,C,capacity_bound,80.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S012,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S012,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S012,C,energy_bound,76.94933329652882
r0.20_a0.9_b1.0,0.2,0.9,1.0,S013,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S013,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S013,C,capacity_bound,80.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S014,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S014,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S014,C,capacity_bound,80.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S015,A,capacity_bound,25.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S015,B,capacity_bound,30.0
r0.20_a0.9_b1.0,0.2,0.9,1.0,S015,C,capacity_bound,80.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S001,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S001,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S001,C,capacity_bound,80.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S002,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S002,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S002,C,energy_bound,77.41293843122591
r0.20_a0.9_b1.1,0.2,0.9,1.1,S003,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S003,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S003,C,energy_bound,76.59461290999435
r0.20_a0.9_b1.1,0.2,0.9,1.1,S004,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S004,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S004,C,energy_bound,73.36287953380969
r0.20_a0.9_b1.1,0.2,0.9,1.1,S005,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S005,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S005,C,capacity_bound,80.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S006,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S006,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S006,C,capacity_bound,80.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S007,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S007,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S007,C,capacity_bound,80.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S008,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S008,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S008,C,energy_bound,69.85175433169265
r0.20_a0.9_b1.1,0.2,0.9,1.1,S009,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S009,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S009,C,capacity_bound,80.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S010,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S010,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S010,C,capacity_bound,80.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S011,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S011,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S011,C,capacity_bound,80.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S012,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S012,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S012,C,energy_bound,76.71953570355767
r0.20_a0.9_b1.1,0.2,0.9,1.1,S013,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S013,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S013,C,capacity_bound,80.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S014,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S014,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S014,C,capacity_bound,80.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S015,A,capacity_bound,25.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S015,B,capacity_bound,30.0
r0.20_a0.9_b1.1,0.2,0.9,1.1,S015,C,capacity_bound,80.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S001,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S001,B,capacity_bound,30.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S001,C,capacity_bound,80.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S002,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S002,B,capacity_bound,30.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S002,C,energy_bound,69.0388405839642
r0.20_a1.0_b0.9,0.2,1.0,0.9,S003,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S003,B,capacity_bound,30.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S003,C,energy_bound,68.6458640800388
r0.20_a1.0_b0.9,0.2,1.0,0.9,S004,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S004,B,capacity_bound,30.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S004,C,energy_bound,64.01343010496018
r0.20_a1.0_b0.9,0.2,1.0,0.9,S005,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S005,B,capacity_bound,30.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S005,C,capacity_bound,80.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S006,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S006,B,capacity_bound,30.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S006,C,capacity_bound,80.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S007,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S007,B,capacity_bound,30.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S007,C,capacity_bound,80.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S008,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S008,B,energy_bound,28.962511147784735
r0.20_a1.0_b0.9,0.2,1.0,0.9,S008,C,energy_bound,59.192942473038016
r0.20_a1.0_b0.9,0.2,1.0,0.9,S009,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S009,B,capacity_bound,30.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S009,C,capacity_bound,80.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S010,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S010,B,capacity_bound,30.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S010,C,capacity_bound,80.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S011,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S011,B,capacity_bound,30.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S011,C,capacity_bound,80.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S012,A,capacity_bound,25.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S012,B,capacity_bound,30.0
r0.20_a1.0_b0.9,0.2,1.0,0.9,S012,C,energy_bound,68.4016976128213
