Scenario,Primary,Status,Sorties,Energy (kWh),Operation Time (s),Primary lower bound,Area count
r0.20_a0.9_b0.9,N,optimal,18,53.21850231740343,32776.09267694372,18,15
r0.20_a0.9_b0.9,E,optimal,19,53.130882178888356,34440.065206685635,53.130882178888356,15
r0.20_a0.9_b0.9,T,optimal,18,53.21850231740343,32776.09267694372,32776.09267694372,15
r0.20_a0.9_b1.0,N,optimal,18,53.4740762153102,32776.09267694372,18,15
r0.20_a0.9_b1.0,E,optimal,19,53.394353975231255,34440.065206685635,53.394353975231255,15
r0.20_a0.9_b1.0,T,optimal,18,53.4740762153102,32776.09267694372,32776.09267694372,15
r0.20_a0.9_b1.1,N,optimal,18,53.72965011321697,32776.09267694372,18,15
r0.20_a0.9_b1.1,E,optimal,19,53.65782577157416,34440.065206685635,53.65782577157416,15
r0.20_a0.9_b1.1,T,optimal,18,53.72965011321697,32776.09267694372,32776.09267694372,15
r0.20_a1.0_b0.9,N,optimal,18,58.87609534365258,32776.09267694372,18,15
r0.20_a1.0_b0.9,E,optimal,19,58.770841735755255,34440.065206685635,58.770841735755255,15
r0.20_a1.0_b0.9,T,optimal,18,58.87609534365258,32776.09267694372,32776.09267694372,15
r0.20_a1.0_b1.0,N,optimal,18,59.131669241559365,32776.09267694372,18,15
r0.20_a1.0_b1.0,E,optimal,19,59.03431353209817,34440.065206685635,59.03431353209817,15
r0.20_a1.0_b1.0,T,optimal,18,59.131669241559365,32776.09267694372,32776.09267694372,15
r0.20_a1.0_b1.1,N,optimal,18,59.38724313946613,32776.09267694372,18,15
r0.20_a1.0_b1.1,E,optimal,19,59.297785328441066,34440.065206685635,59.297785328441066,15
r0.20_a1.0_b1.1,T,optimal,18,59.38724313946613,32776.09267694372,32776.09267694372,15
r0.20_a1.1_b0.9,N,optimal,19,66.64832529109796,34565.74068811703,19,15
r0.20_a1.1_b0.9,E,optimal,20,66.50816484214452,36239.975643870406,66.50816484214452,15
r0.20_a1.1_b0.9,T,optimal,19,66.74880385057557,34559.74068811703,34559.74068811703,15
r0.20_a1.1_b1.0,N,optimal,20,69.3446413136344,36335.58299528407,20,15
r0.20_a1.1_b1.0,E,optimal,22,68.97958242634739,39685.79048077937,68.97958242634739,15
r0.20_a1.1_b1.0,T,optimal,20,69.445119873112,36329.58299528407,36329.58299528407,15
r0.20_a1.1_b1.1,N,optimal,20,69.6195931046809,36335.58299528407,20,15
r0.20_a1.1_b1.1,E,optimal,22,69.27245131551233,39685.79048077937,69.27245131551233,15
r0.20_a1.1_b1.1,T,optimal,20,69.72007166415851,36329.58299528407,36329.58299528407,15
r0.30_a0.9_b0.9,N,optimal,18,53.21850231740343,32776.09267694372,18,15
r0.30_a0.9_b0.9,E,optimal,19,53.130882178888356,34440.065206685635,53.130882178888356,15
r0.30_a0.9_b0.9,T,optimal,18,53.21850231740343,32776.09267694372,32776.09267694372,15
r0.30_a0.9_b1.0,N,optimal,18,53.4740762153102,32776.09267694372,18,15
r0.30_a0.9_b1.0,E,optimal,19,53.394353975231255,34440.065206685635,53.394353975231255,15
r0.30_a0.9_b1.0,T,optimal,18,53.4740762153102,32776.09267694372,32776.09267694372,15
r0.30_a0.9_b1.1,N,optimal,18,53.72965011321697,32776.09267694372,18,15
r0.30_a0.9_b1.1,E,optimal,19,53.65782577157416,34440.065206685635,53.65782577157416,15
r0.30_a0.9_b1.1,T,optimal,18,53.72965011321697,32776.09267694372,32776.09267694372,15
r0.30_a1.0_b0.9,N,optimal,20,66.95135814139675,36586.26912606206,20,15
r0.30_a1.0_b0.9,E,optimal,26,66.18221914222504,46485.578414396965,66.18221914222504,15
r0.30_a1.0_b0.9,T,optimal,20,66.95135814139675,36586.26912606206,36586.26912606206,15
r0.30_a1.0_b1.0,N,optimal,20,67.22803113791093,36586.26912606206,20,15
r0.30_a1.0_b1.0,E,optimal,26,66.51903146077905,46485.578414396965,66.51903146077905,15
r0.30_a1.0_b1.0,T,optimal,20,67.22803113791093,36586.26912606206,36586.26912606206,15
r0.30_a1.0_b1.1,N,optimal,20,67.5047041344251,36586.26912606206,20,15
r0.30_a1.0_b1.1,E,optimal,26,66.85584377933306,46485.578414396965,66.85584377933306,15
r0.30_a1.0_b1.1,T,optimal,20,67.5047041344251,36586.26912606206,36586.26912606206,15
r0.40_a0.9_b0.9,N,optimal,20,66.86438775693351,36919.40229053146,20,15
r0.40_a0.9_b0.9,E,optimal,29,65.60192850322474,51811.80328870736,65.60192850322474,15
r0.40_a0.9_b0.9,T,optimal,20,66.86438775693351,36919.40229053146,36919.40229053146,15
r0.40_a0.9_b1.0,N,optimal,20,67.14329877892986,36919.40229053146,20,15
r0.40_a0.9_b1.0,E,optimal,28,65.98495371649344,50068.82823649266,65.98495371649344,15
r0.40_a0.9_b1.0,T,optimal,20,67.14329877892986,36919.40229053146,36919.40229053146,15
r0.40_a0.9_b1.1,N,optimal,22,69.1412966616246,40489.91791854927,22,15
r0.40_a0.9_b1.1,E,optimal,30,68.17543880834351,53712.34638698323,68.17543880834351,15
r0.40_a0.9_b1.1,T,optimal,22,69.16853856908084,40477.91791854927,40477.91791854927,15
