Scenario,Job ID,Stage,Primary,Bound N,Bound E (kWh),Bound T (s),Status,Proof method,Solver status,Reused certificate,Proof source,Root proof source,Sorties,Energy (kWh),Operation Time (s),Primary lower bound,MIP gap,Nodes,Selected batches
r0.20_a0.9_b0.9,base:N:10:10,base,N,,53.21850231740343,34440.065206685635,optimal,exact_subset_dp,,False,base:N:10:10,,18,53.21850231740343,32776.09267694372,18,0.0,,18
r0.20_a0.9_b0.9,base:N:10:09,base,N,,53.21850231740343,34273.66795371144,optimal,exact_subset_dp,,False,base:N:10:09,,18,53.21850231740343,32776.09267694372,18,0.0,,18
r0.20_a0.9_b0.9,base:N:10:08,base,N,,53.21850231740343,34107.27070073725,optimal,exact_subset_dp,,False,base:N:10:08,,18,53.21850231740343,32776.09267694372,18,0.0,,18
r0.20_a0.9_b0.9,base:N:10:07,base,N,,53.21850231740343,33940.873447763064,optimal,exact_subset_dp,,False,base:N:10:07,,18,53.21850231740343,32776.09267694372,18,0.0,,18
r0.20_a0.9_b0.9,base:N:10:06,base,N,,53.21850231740343,33774.47619478887,optimal,exact_subset_dp,,False,base:N:10:06,,18,53.21850231740343,32776.09267694372,18,0.0,,18
r0.20_a0.9_b0.9,base:N:10:05,base,N,,53.21850231740343,33608.078941814674,optimal,exact_subset_dp,,False,base:N:10:05,,18,53.21850231740343,32776.09267694372,18,0.0,,18
r0.20_a0.9_b0.9,base:N:10:04,base,N,,53.21850231740343,33441.68168884049,optimal,exact_subset_dp,,False,base:N:10:04,,18,53.21850231740343,32776.09267694372,18,0.0,,18
r0.20_a0.9_b0.9,base:N:10:03,base,N,,53.21850231740343,33275.2844358663,optimal,exact_subset_dp,,False,base:N:10:03,,18,53.21850231740343,32776.09267694372,18,0.0,,18
r0.20_a0.9_b0.9,base:N:10:02,base,N,,53.21850231740343,33108.887182892104,optimal,exact_subset_dp,,False,base:N:10:02,,18,53.21850231740343,32776.09267694372,18,0.0,,18
r0.20_a0.9_b0.9,base:N:10:01,base,N,,53.21850231740343,32942.48992991791,optimal,exact_subset_dp,,False,base:N:10:01,,18,53.21850231740343,32776.09267694372,18,0.0,,18
r0.20_a0.9_b0.9,base:N:10:00,base,N,,53.21850231740343,32776.09267694372,optimal,exact_subset_dp,,False,base:N:10:00,,18,53.21850231740343,32776.09267694372,18,0.0,,18
r0.20_a0.9_b0.9,base:N:09:10,base,N,,53.20974030355192,34440.065206685635,optimal,exact_subset_dp,,False,base:N:09:10,,19,53.130882178888356,34440.065206685635,19,0.0,,19
r0.20_a0.9_b0.9,base:N:09:09,base,N,,53.20974030355192,34273.66795371144,infeasible,exact_subset_dp,,False,base:N:09:09,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:09:08,base,N,,53.20974030355192,34107.27070073725,infeasible,exact_subset_dp,,False,base:N:09:08,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:09:07,base,N,,53.20974030355192,33940.873447763064,infeasible,exact_subset_dp,,False,base:N:09:07,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:09:06,base,N,,53.20974030355192,33774.47619478887,infeasible,exact_subset_dp,,False,base:N:09:06,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:09:05,base,N,,53.20974030355192,33608.078941814674,infeasible,exact_subset_dp,,False,base:N:09:05,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:09:04,base,N,,53.20974030355192,33441.68168884049,infeasible,exact_subset_dp,,False,base:N:09:04,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:09:03,base,N,,53.20974030355192,33275.2844358663,infeasible,exact_subset_dp,,False,base:N:09:03,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:09:02,base,N,,53.20974030355192,33108.887182892104,infeasible,exact_subset_dp,,False,base:N:09:02,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:09:01,base,N,,53.20974030355192,32942.48992991791,infeasible,exact_subset_dp,,False,base:N:09:01,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:09:00,base,N,,53.20974030355192,32776.09267694372,infeasible,exact_subset_dp,,False,base:N:09:00,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:08:10,base,N,,53.200978289700416,34440.065206685635,optimal,exact_subset_dp,,False,base:N:08:10,,19,53.130882178888356,34440.065206685635,19,0.0,,19
r0.20_a0.9_b0.9,base:N:08:09,base,N,,53.200978289700416,34273.66795371144,infeasible,exact_subset_dp,,False,base:N:08:09,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:08:08,base,N,,53.200978289700416,34107.27070073725,infeasible,exact_subset_dp,,False,base:N:08:08,,,,,,0.0,,0
r0.20_a0.9_b0.9,base:N:08:07,base,N,,53.200978289700416,33940.873447763064,infeasible,exact_subset_dp,,False,base:N:08:07,,,,,,0.0,,0
