Scenario,Sortie ID,Service Area ID,Model ID,Cargo Box ID List,Total Mass (kg),Total Volume (m³),Round-Trip Time (s),Sortie Energy (kWh),Return SOC (%),Operation Time (s),Batch ID
r0.20_a0.9_b0.9,Q1-001,S001,C,"S001-FOD-02, S001-FOD-03, S001-HYG-01, S001-HYG-02, S001-MED-01, S001-MED-02, S001-WAT-01, S001-WAT-02, S001-WAT-03",76.0,0.231,1122.1703918789085,2.6258322520813406,67.17709684898324,1692.1703918789085,S001|C|01022
r0.20_a0.9_b0.9,Q1-002,S001,C,"S001-FOD-01, S001-WAT-04, S001-WAT-05, S001-WAT-06, S001-WAT-07, S001-WAT-08",78.0,0.163,1014.1703918789086,2.696200735680475,66.29749080399407,1494.1703918789085,S001|C|31745
r0.20_a0.9_b0.9,Q1-003,S002,B,"S002-FOD-02, S002-MED-01, S002-WAT-01",25.0,0.067,1426.6939339219116,2.442079181690116,38.9480204577471,1816.6939339219116,S002|B|00026
r0.20_a0.9_b0.9,Q1-004,S002,C,"S002-FOD-01, S002-HYG-01, S002-WAT-02, S002-WAT-03, S002-WAT-04",56.0,0.14400000000000002,1591.8120186387084,5.149100332424392,35.636245844695104,2041.8120186387084,S002|C|00229
r0.20_a0.9_b0.9,Q1-005,S003,B,"S003-FOD-02, S003-MED-01, S003-WAT-01",25.0,0.067,1690.5430982758824,2.5019731301620007,37.45067174594998,2080.5430982758826,S003|B|00026
r0.20_a0.9_b0.9,Q1-006,S003,C,"S003-FOD-01, S003-HYG-01, S003-WAT-02, S003-WAT-03, S003-WAT-04",56.0,0.14400000000000002,1920.1111443370805,5.188569764780013,35.14287794024984,2370.1111443370805,S003|C|00229
r0.20_a0.9_b0.9,Q1-007,S004,C,"S004-FOD-01, S004-HYG-01, S004-MED-01, S004-WAT-01, S004-WAT-02, S004-WAT-03",59.0,0.156,1821.0610665932259,5.537661687987697,30.77922890015379,2301.061066593226,S004|C|00063
r0.20_a0.9_b0.9,Q1-008,S005,C,"S005-FOD-01, S005-HYG-01, S005-MED-01, S005-WAT-01, S005-WAT-02, S005-WAT-03",59.0,0.156,1397.1951581955423,3.7999978016912146,52.50002747885982,1877.1951581955423,S005|C|00063
r0.20_a0.9_b0.9,Q1-009,S006,C,"S006-FOD-01, S006-HYG-01, S006-MED-01, S006-WAT-01, S006-WAT-02, S006-WAT-03",59.0,0.156,1081.5595259403467,2.3382186623744525,70.77226672031934,1561.5595259403467,S006|C|00063
r0.20_a0.9_b0.9,Q1-010,S007,C,"S007-FOD-01, S007-HYG-01, S007-MED-01, S007-WAT-01, S007-WAT-02",45.0,0.129,1457.5754478361764,3.0698477757046887,61.62690280369139,1907.5754478361764,S007|C|00031
r0.20_a0.9_b0.9,Q1-011,S008,C,"S008-FOD-01, S008-HYG-01, S008-MED-01, S008-WAT-01, S008-WAT-02",45.0,0.129,1749.7120845921743,5.252462335736176,34.3442208032978,2199.7120845921745,S008|C|00031
r0.20_a0.9_b0.9,Q1-012,S009,B,"S009-FOD-01, S009-MED-01, S009-WAT-01",25.0,0.067,1168.4422473944055,1.8866115927612368,52.83471018096908,1558.4422473944055,S009|B|00007
r0.20_a0.9_b0.9,Q1-013,S010,B,"S010-FOD-01, S010-MED-01, S010-WAT-01",25.0,0.067,1165.376902446339,1.6408697493930224,58.97825626517444,1555.376902446339,S010|B|00007
r0.20_a0.9_b0.9,Q1-014,S011,B,"S011-FOD-01, S011-MED-01, S011-WAT-01",25.0,0.067,798.4236501116584,0.9665642000029246,75.8358949999269,1188.4236501116584,S011|B|00007
r0.20_a0.9_b0.9,Q1-015,S012,B,"S012-FOD-01, S012-MED-01, S012-WAT-01",25.0,0.067,1532.7345559700407,2.4771589902609876,38.07102524347531,1922.7345559700407,S012|B|00007
r0.20_a0.9_b0.9,Q1-016,S013,B,"S013-FOD-01, S013-MED-01, S013-WAT-01",25.0,0.067,1120.4702802929446,1.6422784477149421,58.94303880712645,1510.4702802929446,S013|B|00007
r0.20_a0.9_b0.9,Q1-017,S014,B,"S014-FOD-01, S014-MED-01, S014-WAT-01",25.0,0.067,1479.7521946190163,1.9263395226468203,51.84151193382949,1869.7521946190163,S014|B|00007
r0.20_a0.9_b0.9,Q1-018,S015,B,"S015-FOD-01, S015-MED-01, S015-WAT-01",25.0,0.067,1438.2885840204503,2.0767361543109284,48.08159614222679,1828.2885840204503,S015|B|00007
r0.20_a0.9_b1.0,Q1-001,S001,C,"S001-FOD-02, S001-FOD-03, S001-HYG-01, S001-HYG-02, S001-MED-01, S001-MED-02, S001-WAT-01, S001-WAT-02, S001-WAT-03",76.0,0.231,1122.1703918789085,2.6362147240406073,67.0473159494924,1692.1703918789085,S001|C|01022
r0.20_a0.9_b1.0,Q1-002,S001,C,"S001-FOD-01, S001-WAT-04, S001-WAT-05, S001-WAT-06, S001-WAT-07, S001-WAT-08",78.0,0.163,1014.1703918789086,2.7066932345182257,66.16633456852217,1494.1703918789085,S001|C|31745
r0.20_a0.9_b1.0,Q1-003,S002,B,"S002-FOD-02, S002-MED-01, S002-WAT-01",25.0,0.067,1426.6939339219116,2.450453791495223,38.73865521261942,1816.6939339219116,S002|B|00026
r0.20_a0.9_b1.0,Q1-004,S002,C,"S002-FOD-01, S002-HYG-01, S002-WAT-02, S002-WAT-03, S002-WAT-04",56.0,0.14400000000000002,1591.8120186387084,5.160103565629004,35.49870542963745,2041.8120186387084,S002|C|00229
r0.20_a0.9_b1.0,Q1-005,S003,B,"S003-FOD-02, S003-MED-01, S003-WAT-01",25.0,0.067,1690.5430982758824,2.5222532392405137,36.94366901898716,2080.5430982758826,S003|B|00026
