Service Area ID,Longitude (deg),Latitude (deg),Elevation (m),Cargo count
S001,109.2432319,23.0335927,154.0,15
S002,109.2585519,23.0703271,189.5,8
S003,109.1688578,23.0402714,308.5,8
S004,109.2381714,23.0778414,198.3,6
S005,109.2283003,23.0561338,165.0,6
S006,109.1997836,23.007714,284.8,6
S007,109.1928191,23.0294186,318.5,5
S008,109.2127472,23.0795113,240.9,5
S009,109.2541424,23.0552989,200.0,3
S010,109.2760168,23.0194009,321.6,3
S011,109.2203356,23.0319231,182.1,3
S012,109.2831357,23.054464,249.8,3
S013,109.2713839,23.0310882,321.7,3
S014,109.2835966,23.0052097,321.0,3
S015,109.1923786,23.0494548,444.5,3
