Cargo Box ID,Service Area ID,Mass (kg),Volume (m³)
S001-FOD-01,S001,8.0,0.028
S001-FOD-02,S001,8.0,0.028
S001-FOD-03,S001,8.0,0.028
S001-HYG-01,S001,6.0,0.035
S001-HYG-02,S001,6.0,0.035
S001-MED-01,S001,3.0,0.012
S001-MED-02,S001,3.0,0.012
S001-WAT-01,S001,14.0,0.027
S001-WAT-02,S001,14.0,0.027
S001-WAT-03,S001,14.0,0.027
S001-WAT-04,S001,14.0,0.027
S001-WAT-05,S001,14.0,0.027
S001-WAT-06,S001,14.0,0.027
S001-WAT-07,S001,14.0,0.027
S001-WAT-08,S001,14.0,0.027
S002-FOD-01,S002,8.0,0.028
S002-FOD-02,S002,8.0,0.028
S002-HYG-01,S002,6.0,0.035
S002-MED-01,S002,3.0,0.012
S002-WAT-01,S002,14.0,0.027
S002-WAT-02,S002,14.0,0.027
S002-WAT-03,S002,14.0,0.027
S002-WAT-04,S002,14.0,0.027
S003-FOD-01,S003,8.0,0.028
S003-FOD-02,S003,8.0,0.028
S003-HYG-01,S003,6.0,0.035
S003-MED-01,S003,3.0,0.012
S003-WAT-01,S003,14.0,0.027
S003-WAT-02,S003,14.0,0.027
S003-WAT-03,S003,14.0,0.027
S003-WAT-04,S003,14.0,0.027
S004-FOD-01,S004,8.0,0.028
S004-HYG-01,S004,6.0,0.035
S004-MED-01,S004,3.0,0.012
S004-WAT-01,S004,14.0,0.027
S004-WAT-02,S004,14.0,0.027
S004-WAT-03,S004,14.0,0.027
S005-FOD-01,S005,8.0,0.028
S005-HYG-01,S005,6.0,0.035
S005-MED-01,S005,3.0,0.012
S005-WAT-01,S005,14.0,0.027
S005-WAT-02,S005,14.0,0.027
S005-WAT-03,S005,14.0,0.027
S006-FOD-01,S006,8.0,0.028
S006-HYG-01,S006,6.0,0.035
S006-MED-01,S006,3.0,0.012
S006-WAT-01,S006,14.0,0.027
S006-WAT-02,S006,14.0,0.027
S006-WAT-03,S006,14.0,0.027
S007-FOD-01,S007,8.0,0.028
S007-HYG-01,S007,6.0,0.035
S007-MED-01,S007,3.0,0.012
S007-WAT-01,S007,14.0,0.027
S007-WAT-02,S007,14.0,0.027
S008-FOD-01,S008,8.0,0.028
S008-HYG-01,S008,6.0,0.035
S008-MED-01,S008,3.0,0.012
S008-WAT-01,S008,14.0,0.027
S008-WAT-02,S008,14.0,0.027
S009-FOD-01,S009,8.0,0.028
S009-MED-01,S009,3.0,0.012
S009-WAT-01,S009,14.0,0.027
S010-FOD-01,S010,8.0,0.028
S010-MED-01,S010,3.0,0.012
S010-WAT-01,S010,14.0,0.027
S011-FOD-01,S011,8.0,0.028
S011-MED-01,S011,3.0,0.012
S011-WAT-01,S011,14.0,0.027
S012-FOD-01,S012,8.0,0.028
S012-MED-01,S012,3.0,0.012
S012-WAT-01,S012,14.0,0.027
S013-FOD-01,S013,8.0,0.028
S013-MED-01,S013,3.0,0.012
S013-WAT-01,S013,14.0,0.027
S014-FOD-01,S014,8.0,0.028
S014-MED-01,S014,3.0,0.012
S014-WAT-01,S014,14.0,0.027
S015-FOD-01,S015,8.0,0.028
S015-MED-01,S015,3.0,0.012
S015-WAT-01,S015,14.0,0.027
