Scenario,Sample ID,Sample status,Sorties,Energy (kWh),Operation Time (s),Selected batch IDs
r0.20_a0.9_b0.9,1,formal sampled,18,53.21850231740343,32776.09267694372,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|C|00031;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a0.9_b0.9,2,formal sampled,19,53.130882178888356,34440.065206685635,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00010;S008|B|00021;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a0.9_b1.0,1,formal sampled,18,53.47407621531019,32776.09267694372,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|C|00031;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a0.9_b1.0,2,formal sampled,19,53.39435397523125,34440.065206685635,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00010;S008|B|00021;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a0.9_b1.1,1,formal sampled,18,53.72965011321696,32776.09267694372,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|C|00031;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a0.9_b1.1,2,formal sampled,19,53.657825771574146,34440.065206685635,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00010;S008|B|00021;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.0_b0.9,1,formal sampled,18,58.8760953436526,32776.09267694372,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|C|00031;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.0_b0.9,2,formal sampled,19,58.770841735755276,34440.065206685635,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00010;S008|B|00021;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.0_b1.0,1,formal sampled,18,59.131669241559365,32776.09267694372,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|C|00031;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.0_b1.0,2,formal sampled,19,59.03431353209817,34440.065206685635,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00010;S008|B|00021;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.0_b1.1,1,formal sampled,18,59.38724313946613,32776.09267694372,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|C|00031;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
